,data,ativo,segmento
283384,2021-03-09,U1BE34,BDR
283121,2021-03-12,TSLA34,BDR
254294,2021-03-16,AAPL34,BDR
264696,2021-03-10,EMBR3,aereas
263525,2021-03-11,CVCB3,aereas
267502,2021-03-11,GOLL4,aereas
279962,2021-03-11,SMLS3,aereas
256552,2021-03-15,AZUL4,aereas
282096,2021-03-19,TESA3,agro
275602,2021-03-10,PINE4,bancos
257481,2021-03-11,BEES3,bancos
260129,2021-03-18,BRSR6,bancos
272463,2021-03-11,MEAL3,comidas_bedidas_farmacia
277055,2021-03-11,RADL3,comidas_bedidas_farmacia
258015,2021-03-15,BKBR3,comidas_bedidas_farmacia
264167,2021-03-15,DMVF3,comidas_bedidas_farmacia
275343,2021-03-19,PGMN3,comidas_bedidas_farmacia
275725,2021-03-11,PLPL3,construtoras
281691,2021-03-11,TCSA3,construtoras
282854,2021-03-11,TRIS3,construtoras
265935,2021-03-12,EVEN3,construtoras
266068,2021-03-12,EZTC3,construtoras
273158,2021-03-12,MRVE3,construtoras
273424,2021-03-12,MTRE3,construtoras
281958,2021-03-12,TEND3,construtoras
284583,2021-03-12,VIVR3,construtoras
263660,2021-03-15,CYRE3,construtoras
272332,2021-03-15,MDNE3,construtoras
263902,2021-03-16,DIRR3,construtoras
266735,2021-03-16,GFSA3,construtoras
263397,2021-03-18,CURY3,construtoras
278924,2021-03-12,SEER3,educacao
255958,2021-03-17,ANIM3,educacao
285783,2021-03-17,YDUQ3,educacao
254756,2021-03-10,AERI3,energia
265095,2021-03-10,ENEV3,energia
282355,2021-03-10,TIET11,energia
282986,2021-03-10,TRPL4,energia
255422,2021-03-11,ALUP11,energia
265535,2021-03-11,EQTL3,energia
270706,2021-03-11,LIGT3,energia
262342,2021-03-12,CPFE3,energia
261279,2021-03-15,CESP6,energia
261678,2021-03-15,CMIG3,energia
265231,2021-03-15,ENGI11,energia
264434,2021-03-16,EGIE3,energia
278041,2021-03-11,RNEW3,energia_renovavel
273825,2021-03-16,NEOE3,energia_renovavel
274553,2021-03-19,OMGE3,energia_renovavel
255289,2021-03-11,ALSO3,incorporadora
259858,2021-03-11,BRML3,incorporadora
260879,2021-03-12,CCPR3,incorporadora
268301,2021-03-12,HBOR3,incorporadora
269777,2021-03-12,JHSF3,incorporadora
270309,2021-03-15,LAVV3,incorporadora
255159,2021-03-16,ALPK3,incorporadora
256421,2021-03-17,AVLL3,incorporadora
258927,2021-03-11,BOVA11,indice
264032,2021-03-11,DIVO11,indice
268815,2021-03-11,IBOV,indice
275470,2021-03-11,PIBB11,indice
257083,2021-03-12,BBSD11,indice
279830,2021-03-12,SMAL11,indice
269512,2021-03-15,IVVB11,indice
271907,2021-03-17,MATB11,indice
281423,2021-03-09,TASA4,industriais
267635,2021-03-11,GPCP3,industriais
272729,2021-03-11,MILS3,industriais
262741,2021-03-12,CRPG5,industriais
276524,2021-03-12,PRNR3,industriais
280234,2021-03-19,SNSY5,industriais
261010,2021-03-10,CCRO3,infra_logistica
264298,2021-03-11,ECOR3,infra_logistica
271371,2021-03-11,LOGN3,infra_logistica
277188,2021-03-11,RAIL3,infra_logistica
280628,2021-03-12,STBP3,infra_logistica
271241,2021-03-16,LOGG3,infra_logistica
279435,2021-03-18,SIMH3,infra_logistica
282228,2021-03-18,TGMA3,infra_logistica
268422,2021-03-19,HBSA3,infra_logistica
270441,2021-03-12,LCAM3,locadoras
277787,2021-03-15,RENT3,locadoras
272895,2021-03-17,MOVI3,locadoras
283519,2021-03-11,UCAS3,material_construcao
265802,2021-03-12,EUCA4,material_construcao
268036,2021-03-15,HAGA4,material_construcao
276793,2021-03-17,PTBL3,material_construcao
263139,2021-03-11,CSNA3,mineracao_metais
275859,2021-03-12,PMAM3,mineracao_metais
283921,2021-03-16,USIM5,mineracao_metais
259330,2021-03-17,BRAP4,mineracao_metais
259459,2021-03-11,BRDT3,oleo_gas
271638,2021-03-12,LUPA3,oleo_gas
274947,2021-03-12,PETR4,oleo_gas
283653,2021-03-12,UGPA3,oleo_gas
273688,2021-03-10,MYPK3,pecas_auto
270573,2021-03-11,LEVE3,pecas_auto
277454,2021-03-11,RAPT4,pecas_auto
283259,2021-03-19,TUPY3,pecas_auto
259726,2021-03-12,BRKM5,quimicos
283788,2021-03-16,UNIP6,quimicos
278789,2021-03-10,SBSP3,saneamento
263008,2021-03-15,CSMG3,saneamento
255691,2021-03-16,AMBP3,saneamento
275203,2021-03-09,PFRM3,saude
254160,2021-03-15,AALR3,saude
275993,2021-03-15,PNVL3,saude
274683,2021-03-16,PARD3,saude
268686,2021-03-17,HYPE3,saude
274285,2021-03-17,ODPV3,saude
266471,2021-03-18,FLRY3,saude
267109,2021-03-19,GNDI3,saude
269110,2021-03-10,IRBR3,seguro
276657,2021-03-12,PSSA3,seguro
285647,2021-03-12,WIZS3,seguro
280762,2021-03-15,SULA11,seguro
280895,2021-03-15,SULA4,seguro
257220,2021-03-18,BBSE3,seguro
256683,2021-03-11,B3SA3,servicos_financeiro
258680,2021-03-12,BOAS3,servicos_financeiro
261412,2021-03-15,CIEL3,servicos_financeiro
256223,2021-03-16,ATOM3,servicos_financeiro
256689,2021-03-19,B3SA3,servicos_financeiro
276258,2021-03-12,POSI3,tech
284849,2021-03-12,VLID3,tech
260658,2021-03-15,CARD3,tech
280496,2021-03-15,SQIA3,tech
274414,2021-03-11,OIBR3,telecom
282491,2021-03-15,TIMS3,telecom
284717,2021-03-15,VIVT3,telecom
280363,2021-03-15,SOMA3,varejo
285116,2021-03-15,VVAR3,varejo
274819,2021-03-19,PCAR3,varejo
274148,2021-03-11,NTCO3,varejo_especializado
279164,2021-03-11,SGPS3,varejo_especializado
279698,2021-03-15,SLED3,varejo_especializado
281826,2021-03-15,TECN3,varejo_especializado
284451,2021-03-15,VIVA3,varejo_especializado
255554,2021-03-10,AMAR3,vestuario
255023,2021-03-11,ALPA4,vestuario
261809,2021-03-11,CNTO3,vestuario
267901,2021-03-11,GUAR3,vestuario
268549,2021-03-11,HGTX3,vestuario
271105,2021-03-11,LLIS3,vestuario
261145,2021-03-12,CEAB3,vestuario
284983,2021-03-15,VULC3,vestuario
